nyr:,200
SLR (m), Pchng (cm), pi_0, N_d, SD, SE,min,max
0.060, 1.700, 0.1,  4.220,  2.188,  0.155,  0.000, 10.000
0.060, 1.700, 0.2,  3.645,  2.010,  0.142,  0.000,  9.000
0.060, 1.700, 0.3,  3.300,  1.859,  0.131,  0.000,  9.000
0.060, 1.700, 0.4,  3.070,  1.842,  0.130,  0.000,  9.000
0.060, 1.700, 0.5,  2.895,  1.792,  0.127,  0.000,  9.000
0.080, 1.700, 0.1,  4.840,  2.392,  0.169,  0.000, 11.000
0.080, 1.700, 0.2,  4.150,  2.081,  0.147,  0.000, 10.000
0.080, 1.700, 0.3,  3.800,  1.982,  0.140,  0.000,  9.000
0.080, 1.700, 0.4,  3.480,  1.894,  0.134,  0.000,  9.000
0.080, 1.700, 0.5,  3.265,  1.817,  0.128,  0.000,  9.000
0.100, 1.700, 0.1,  5.640,  2.649,  0.187,  0.000, 13.000
0.100, 1.700, 0.2,  4.780,  2.387,  0.169,  0.000, 11.000
0.100, 1.700, 0.3,  4.295,  2.187,  0.155,  0.000, 11.000
0.100, 1.700, 0.4,  3.960,  2.069,  0.146,  0.000, 11.000
0.100, 1.700, 0.5,  3.715,  2.016,  0.143,  0.000, 10.000
0.120, 1.700, 0.1,  6.610,  2.940,  0.208,  0.000, 14.000
0.120, 1.700, 0.2,  5.515,  2.626,  0.186,  0.000, 13.000
0.120, 1.700, 0.3,  4.925,  2.445,  0.173,  0.000, 12.000
0.120, 1.700, 0.4,  4.530,  2.319,  0.164,  0.000, 12.000
0.120, 1.700, 0.5,  4.205,  2.174,  0.154,  0.000, 11.000
0.140, 1.700, 0.1,  7.840,  3.193,  0.226,  0.000, 16.000
0.140, 1.700, 0.2,  6.455,  2.884,  0.204,  0.000, 14.000
0.140, 1.700, 0.3,  5.720,  2.709,  0.192,  0.000, 13.000
0.140, 1.700, 0.4,  5.185,  2.530,  0.179,  0.000, 12.000
0.140, 1.700, 0.5,  4.805,  2.416,  0.171,  0.000, 12.000
0.160, 1.700, 0.1,  9.375,  3.440,  0.243,  1.000, 18.000
0.160, 1.700, 0.2,  7.505,  3.146,  0.222,  0.000, 15.000
0.160, 1.700, 0.3,  6.665,  2.928,  0.207,  0.000, 14.000
0.160, 1.700, 0.4,  6.030,  2.780,  0.197,  0.000, 14.000
0.160, 1.700, 0.5,  5.525,  2.654,  0.188,  0.000, 12.000
0.180, 1.700, 0.1, 11.255,  3.762,  0.266,  3.000, 20.000
0.180, 1.700, 0.2,  9.120,  3.353,  0.237,  1.000, 17.000
0.180, 1.700, 0.3,  7.865,  3.193,  0.226,  0.000, 16.000
0.180, 1.700, 0.4,  7.060,  3.025,  0.214,  0.000, 15.000
0.180, 1.700, 0.5,  6.440,  2.835,  0.200,  0.000, 14.000
0.200, 1.700, 0.1, 13.350,  4.021,  0.284,  4.000, 23.000
0.200, 1.700, 0.2, 10.710,  3.653,  0.258,  1.000, 19.000
0.200, 1.700, 0.3,  9.415,  3.430,  0.243,  1.000, 17.000
0.200, 1.700, 0.4,  8.330,  3.308,  0.234,  0.000, 16.000
0.200, 1.700, 0.5,  7.495,  3.164,  0.224,  0.000, 15.000
0.220, 1.700, 0.1, 16.205,  4.278,  0.303,  6.000, 27.000
0.220, 1.700, 0.2, 12.860,  3.984,  0.282,  4.000, 22.000
0.220, 1.700, 0.3, 11.115,  3.769,  0.266,  1.000, 19.000
0.220, 1.700, 0.4,  9.940,  3.497,  0.247,  1.000, 18.000
0.220, 1.700, 0.5,  8.995,  3.396,  0.240,  1.000, 17.000
0.240, 1.700, 0.1, 19.735,  4.718,  0.334, 10.000, 33.000
0.240, 1.700, 0.2, 15.380,  4.241,  0.300,  6.000, 26.000
0.240, 1.700, 0.3, 13.230,  3.969,  0.281,  5.000, 23.000
0.240, 1.700, 0.4, 11.895,  3.892,  0.275,  3.000, 22.000
0.240, 1.700, 0.5, 10.585,  3.593,  0.254,  1.000, 19.000
0.260, 1.700, 0.1, 23.525,  4.996,  0.353, 13.000, 37.000
0.260, 1.700, 0.2, 18.820,  4.551,  0.322,  8.000, 32.000
0.260, 1.700, 0.3, 15.995,  4.254,  0.301,  6.000, 27.000
0.260, 1.700, 0.4, 13.960,  4.007,  0.283,  6.000, 24.000
0.260, 1.700, 0.5, 12.640,  3.972,  0.281,  4.000, 22.000
0.280, 1.700, 0.1, 28.060,  5.416,  0.383, 16.000, 42.000
0.280, 1.700, 0.2, 22.515,  4.909,  0.347, 12.000, 37.000
0.280, 1.700, 0.3, 19.365,  4.678,  0.331,  9.000, 33.000
0.280, 1.700, 0.4, 16.910,  4.393,  0.311,  7.000, 29.000
0.280, 1.700, 0.5, 14.950,  4.202,  0.297,  6.000, 26.000
0.300, 1.700, 0.1, 33.605,  6.174,  0.437, 21.000, 50.000
0.300, 1.700, 0.2, 26.770,  5.320,  0.376, 15.000, 41.000
0.300, 1.700, 0.3, 23.140,  4.989,  0.353, 13.000, 37.000
0.300, 1.700, 0.4, 20.465,  4.857,  0.343, 10.000, 33.000
0.300, 1.700, 0.5, 18.235,  4.614,  0.326,  7.000, 31.000
0.320, 1.700, 0.1, 40.395,  6.484,  0.458, 27.000, 58.000
0.320, 1.700, 0.2, 32.030,  6.082,  0.430, 19.000, 48.000
0.320, 1.700, 0.3, 27.630,  5.403,  0.382, 16.000, 41.000
0.320, 1.700, 0.4, 24.345,  5.061,  0.358, 15.000, 37.000
0.320, 1.700, 0.5, 21.830,  4.875,  0.345, 12.000, 36.000
0.340, 1.700, 0.1, 48.070,  6.950,  0.491, 33.000, 69.000
0.340, 1.700, 0.2, 38.580,  6.357,  0.450, 26.000, 57.000
0.340, 1.700, 0.3, 33.010,  6.193,  0.438, 20.000, 49.000
0.340, 1.700, 0.4, 29.025,  5.687,  0.402, 17.000, 43.000
0.340, 1.700, 0.5, 25.985,  5.275,  0.373, 15.000, 40.000
0.360, 1.700, 0.1, 56.315,  6.962,  0.492, 40.000, 80.000
0.360, 1.700, 0.2, 45.990,  6.837,  0.483, 31.000, 66.000
0.360, 1.700, 0.3, 39.595,  6.443,  0.456, 26.000, 58.000
0.360, 1.700, 0.4, 34.850,  6.109,  0.432, 21.000, 51.000
0.360, 1.700, 0.5, 31.070,  5.958,  0.421, 19.000, 48.000
0.380, 1.700, 0.1, 65.815,  7.611,  0.538, 47.000, 88.000
0.380, 1.700, 0.2, 53.980,  7.069,  0.500, 39.000, 78.000
0.380, 1.700, 0.3, 47.120,  6.888,  0.487, 32.000, 67.000
0.380, 1.700, 0.4, 41.820,  6.611,  0.467, 27.000, 59.000
0.380, 1.700, 0.5, 37.415,  6.426,  0.454, 23.000, 54.000
0.400, 1.700, 0.1, 76.470,  8.359,  0.591, 54.000, 100.000
0.400, 1.700, 0.2, 63.235,  7.590,  0.537, 44.000, 86.000
0.400, 1.700, 0.3, 55.415,  7.031,  0.497, 39.000, 80.000
0.400, 1.700, 0.4, 49.605,  6.914,  0.489, 36.000, 71.000
0.400, 1.700, 0.5, 44.620,  6.712,  0.475, 30.000, 65.000
0.420, 1.700, 0.1, 88.100,  8.871,  0.627, 65.000, 112.000
0.420, 1.700, 0.2, 73.510,  8.085,  0.572, 52.000, 96.000
0.420, 1.700, 0.3, 64.815,  7.520,  0.532, 45.000, 87.000
0.420, 1.700, 0.4, 58.310,  7.233,  0.511, 42.000, 82.000
0.420, 1.700, 0.5, 52.585,  6.957,  0.492, 37.000, 74.000
0.440, 1.700, 0.1, 101.020,  9.349,  0.661, 79.000, 126.000
0.440, 1.700, 0.2, 84.930,  8.856,  0.626, 63.000, 109.000
0.440, 1.700, 0.3, 75.285,  8.198,  0.580, 53.000, 98.000
0.440, 1.700, 0.4, 67.770,  7.823,  0.553, 49.000, 90.000
0.440, 1.700, 0.5, 61.545,  7.483,  0.529, 43.000, 85.000
0.460, 1.700, 0.1, 114.285,  9.398,  0.665, 91.000, 136.000
0.460, 1.700, 0.2, 97.530,  9.415,  0.666, 76.000, 122.000
0.460, 1.700, 0.3, 86.775,  8.942,  0.632, 64.000, 109.000
0.460, 1.700, 0.4, 78.910,  8.505,  0.601, 59.000, 102.000
0.460, 1.700, 0.5, 71.550,  7.916,  0.560, 52.000, 93.000
0.480, 1.700, 0.1, 127.470,  9.182,  0.649, 107.000, 150.000
0.480, 1.700, 0.2, 110.525,  9.405,  0.665, 88.000, 135.000
0.480, 1.700, 0.3, 99.640,  9.405,  0.665, 78.000, 125.000
0.480, 1.700, 0.4, 90.615,  8.899,  0.629, 68.000, 115.000
0.480, 1.700, 0.5, 83.000,  8.638,  0.611, 62.000, 105.000
0.500, 1.700, 0.1, 140.515,  8.868,  0.627, 122.000, 160.000
0.500, 1.700, 0.2, 124.015,  9.316,  0.659, 104.000, 145.000
0.500, 1.700, 0.3, 112.730,  9.391,  0.664, 90.000, 136.000
0.500, 1.700, 0.4, 103.550,  9.229,  0.653, 84.000, 128.000
0.500, 1.700, 0.5, 95.480,  9.304,  0.658, 74.000, 121.000
0.000, 1.750, 0.1,  3.025,  1.822,  0.129,  0.000,  9.000
0.000, 1.750, 0.2,  2.635,  1.722,  0.122,  0.000,  8.000
0.000, 1.750, 0.3,  2.370,  1.608,  0.114,  0.000,  7.000
0.000, 1.750, 0.4,  2.220,  1.521,  0.108,  0.000,  7.000
0.000, 1.750, 0.5,  2.120,  1.482,  0.105,  0.000,  7.000
0.020, 1.750, 0.1,  3.460,  2.025,  0.143,  0.000,  9.000
0.020, 1.750, 0.2,  2.995,  1.869,  0.132,  0.000,  9.000
0.020, 1.750, 0.3,  2.730,  1.787,  0.126,  0.000,  9.000
0.020, 1.750, 0.4,  2.530,  1.662,  0.118,  0.000,  7.000
0.020, 1.750, 0.5,  2.400,  1.626,  0.115,  0.000,  7.000
0.040, 1.750, 0.1,  3.960,  2.147,  0.152,  0.000, 10.000
0.040, 1.750, 0.2,  3.405,  1.962,  0.139,  0.000,  9.000
0.040, 1.750, 0.3,  3.100,  1.878,  0.133,  0.000,  9.000
0.040, 1.750, 0.4,  2.900,  1.818,  0.129,  0.000,  9.000
0.040, 1.750, 0.5,  2.705,  1.747,  0.124,  0.000,  8.000
0.060, 1.750, 0.1,  4.520,  2.310,  0.163,  0.000, 11.000
0.060, 1.750, 0.2,  3.865,  2.088,  0.148,  0.000, 10.000
0.060, 1.750, 0.3,  3.515,  1.962,  0.139,  0.000,  9.000
0.060, 1.750, 0.4,  3.265,  1.853,  0.131,  0.000,  9.000
0.060, 1.750, 0.5,  3.020,  1.846,  0.131,  0.000,  9.000
0.080, 1.750, 0.1,  5.195,  2.479,  0.175,  0.000, 11.000
0.080, 1.750, 0.2,  4.425,  2.204,  0.156,  0.000, 11.000
0.080, 1.750, 0.3,  4.000,  2.052,  0.145,  0.000, 10.000
0.080, 1.750, 0.4,  3.720,  1.988,  0.141,  0.000,  9.000
0.080, 1.750, 0.5,  3.440,  1.861,  0.132,  0.000,  9.000
0.100, 1.750, 0.1,  6.065,  2.709,  0.192,  0.000, 13.000
0.100, 1.750, 0.2,  5.090,  2.487,  0.176,  0.000, 11.000
0.100, 1.750, 0.3,  4.590,  2.295,  0.162,  0.000, 11.000
0.100, 1.750, 0.4,  4.240,  2.153,  0.152,  0.000, 11.000
0.100, 1.750, 0.5,  3.945,  2.082,  0.147,  0.000, 11.000
0.120, 1.750, 0.1,  7.135,  3.039,  0.215,  0.000, 15.000
0.120, 1.750, 0.2,  5.920,  2.761,  0.195,  0.000, 14.000
0.120, 1.750, 0.3,  5.275,  2.516,  0.178,  0.000, 12.000
0.120, 1.750, 0.4,  4.840,  2.411,  0.170,  0.000, 12.000
0.120, 1.750, 0.5,  4.470,  2.277,  0.161,  0.000, 11.000
0.140, 1.750, 0.1,  8.555,  3.329,  0.235,  1.000, 16.000
0.140, 1.750, 0.2,  6.905,  3.009,  0.213,  0.000, 15.000
0.140, 1.750, 0.3,  6.140,  2.784,  0.197,  0.000, 14.000
0.140, 1.750, 0.4,  5.570,  2.642,  0.187,  0.000, 13.000
0.140, 1.750, 0.5,  5.110,  2.504,  0.177,  0.000, 12.000
0.160, 1.750, 0.1, 10.190,  3.536,  0.250,  1.000, 18.000
0.160, 1.750, 0.2,  8.205,  3.286,  0.232,  0.000, 16.000
0.160, 1.750, 0.3,  7.185,  3.021,  0.214,  0.000, 15.000
0.160, 1.750, 0.4,  6.485,  2.846,  0.201,  0.000, 14.000
0.160, 1.750, 0.5,  5.905,  2.750,  0.194,  0.000, 13.000
0.180, 1.750, 0.1, 12.225,  3.978,  0.281,  3.000, 22.000
0.180, 1.750, 0.2,  9.860,  3.474,  0.246,  1.000, 18.000
0.180, 1.750, 0.3,  8.535,  3.343,  0.236,  0.000, 16.000
0.180, 1.750, 0.4,  7.590,  3.175,  0.225,  0.000, 15.000
0.180, 1.750, 0.5,  6.945,  3.010,  0.213,  0.000, 14.000
0.200, 1.750, 0.1, 14.600,  4.094,  0.290,  5.000, 24.000
0.200, 1.750, 0.2, 11.820,  3.893,  0.275,  3.000, 21.000
0.200, 1.750, 0.3, 10.230,  3.520,  0.249,  1.000, 18.000
0.200, 1.750, 0.4,  9.090,  3.379,  0.239,  1.000, 17.000
0.200, 1.750, 0.5,  8.155,  3.256,  0.230,  0.000, 16.000
0.220, 1.750, 0.1, 17.865,  4.510,  0.319,  7.000, 30.000
0.220, 1.750, 0.2, 13.935,  4.001,  0.283,  5.000, 23.000
0.220, 1.750, 0.3, 12.210,  3.964,  0.280,  3.000, 23.000
0.220, 1.750, 0.4, 10.765,  3.606,  0.255,  1.000, 19.000
0.220, 1.750, 0.5,  9.725,  3.478,  0.246,  1.000, 18.000
0.240, 1.750, 0.1, 21.570,  4.810,  0.340, 10.000, 34.000
0.240, 1.750, 0.2, 16.965,  4.405,  0.311,  6.000, 28.000
0.240, 1.750, 0.3, 14.420,  4.066,  0.288,  6.000, 23.000
0.240, 1.750, 0.4, 12.860,  3.998,  0.283,  4.000, 23.000
0.240, 1.750, 0.5, 11.510,  3.784,  0.268,  3.000, 21.000
0.260, 1.750, 0.1, 25.845,  5.207,  0.368, 15.000, 40.000
0.260, 1.750, 0.2, 20.620,  4.842,  0.342, 10.000, 33.000
0.260, 1.750, 0.3, 17.605,  4.457,  0.315,  7.000, 30.000
0.260, 1.750, 0.4, 15.300,  4.217,  0.298,  6.000, 26.000
0.260, 1.750, 0.5, 13.670,  4.061,  0.287,  5.000, 24.000
0.280, 1.750, 0.1, 30.810,  5.867,  0.415, 18.000, 48.000
0.280, 1.750, 0.2, 24.530,  4.997,  0.353, 14.000, 37.000
0.280, 1.750, 0.3, 21.215,  4.893,  0.346, 10.000, 33.000
0.280, 1.750, 0.4, 18.715,  4.603,  0.325,  7.000, 31.000
0.280, 1.750, 0.5, 16.500,  4.326,  0.306,  6.000, 27.000
0.300, 1.750, 0.1, 37.085,  6.429,  0.455, 21.000, 54.000
0.300, 1.750, 0.2, 29.350,  5.648,  0.399, 16.000, 43.000
0.300, 1.750, 0.3, 25.285,  5.128,  0.363, 15.000, 38.000
0.300, 1.750, 0.4, 22.390,  4.900,  0.346, 12.000, 36.000
0.300, 1.750, 0.5, 20.015,  4.776,  0.338, 10.000, 33.000
0.320, 1.750, 0.1, 44.460,  6.764,  0.478, 28.000, 62.000
0.320, 1.750, 0.2, 35.290,  6.192,  0.438, 21.000, 51.000
0.320, 1.750, 0.3, 30.220,  5.752,  0.407, 18.000, 48.000
0.320, 1.750, 0.4, 26.715,  5.286,  0.374, 15.000, 41.000
0.320, 1.750, 0.5, 23.885,  5.047,  0.357, 13.000, 37.000
0.340, 1.750, 0.1, 52.560,  6.855,  0.485, 38.000, 74.000
0.340, 1.750, 0.2, 42.410,  6.651,  0.470, 27.000, 59.000
0.340, 1.750, 0.3, 36.285,  6.280,  0.444, 21.000, 52.000
0.340, 1.750, 0.4, 31.940,  6.077,  0.430, 19.000, 48.000
0.340, 1.750, 0.5, 28.535,  5.479,  0.387, 16.000, 43.000
0.360, 1.750, 0.1, 61.920,  7.378,  0.522, 44.000, 84.000
0.360, 1.750, 0.2, 50.400,  6.886,  0.487, 37.000, 71.000
0.360, 1.750, 0.3, 43.560,  6.727,  0.476, 28.000, 61.000
0.360, 1.750, 0.4, 38.635,  6.426,  0.454, 24.000, 57.000
0.360, 1.750, 0.5, 34.175,  6.156,  0.435, 21.000, 50.000
0.380, 1.750, 0.1, 71.990,  7.843,  0.555, 54.000, 93.000
0.380, 1.750, 0.2, 59.310,  7.136,  0.505, 41.000, 81.000
0.380, 1.750, 0.3, 51.635,  6.913,  0.489, 37.000, 73.000
0.380, 1.750, 0.4, 46.105,  6.816,  0.482, 30.000, 66.000
0.380, 1.750, 0.5, 41.135,  6.532,  0.462, 27.000, 58.000
0.400, 1.750, 0.1, 83.695,  8.456,  0.598, 63.000, 105.000
0.400, 1.750, 0.2, 69.230,  7.671,  0.542, 50.000, 88.000
0.400, 1.750, 0.3, 60.950,  7.356,  0.520, 43.000, 84.000
0.400, 1.750, 0.4, 54.335,  7.001,  0.495, 38.000, 76.000
0.400, 1.750, 0.5, 49.070,  6.942,  0.491, 35.000, 68.000
0.420, 1.750, 0.1, 96.575,  9.047,  0.640, 76.000, 123.000
0.420, 1.750, 0.2, 80.620,  8.305,  0.587, 61.000, 103.000
0.420, 1.750, 0.3, 70.795,  7.817,  0.553, 54.000, 91.000
0.420, 1.750, 0.4, 63.745,  7.555,  0.534, 44.000, 86.000
0.420, 1.750, 0.5, 57.665,  7.013,  0.496, 41.000, 80.000
0.440, 1.750, 0.1, 109.875,  9.060,  0.641, 88.000, 133.000
0.440, 1.750, 0.2, 92.880,  8.788,  0.621, 72.000, 118.000
0.440, 1.750, 0.3, 82.535,  8.371,  0.592, 61.000, 103.000
0.440, 1.750, 0.4, 74.185,  7.848,  0.555, 54.000, 96.000
0.440, 1.750, 0.5, 67.485,  7.555,  0.534, 47.000, 87.000
0.460, 1.750, 0.1, 124.260,  9.389,  0.664, 102.000, 146.000
0.460, 1.750, 0.2, 106.270,  9.246,  0.654, 84.000, 128.000
0.460, 1.750, 0.3, 95.090,  8.878,  0.628, 74.000, 122.000
0.460, 1.750, 0.4, 86.095,  8.529,  0.603, 65.000, 109.000
0.460, 1.750, 0.5, 78.520,  8.205,  0.580, 56.000, 101.000
0.480, 1.750, 0.1, 138.065,  9.023,  0.638, 118.000, 159.000
0.480, 1.750, 0.2, 120.450,  9.437,  0.667, 95.000, 140.000
0.480, 1.750, 0.3, 108.455,  9.079,  0.642, 88.000, 131.000
0.480, 1.750, 0.4, 99.285,  9.170,  0.648, 78.000, 124.000
0.480, 1.750, 0.5, 90.575,  8.816,  0.623, 69.000, 114.000
0.500, 1.750, 0.1, 151.890,  9.064,  0.641, 130.000, 175.000
0.500, 1.750, 0.2, 134.320,  9.237,  0.653, 113.000, 157.000
0.500, 1.750, 0.3, 122.675,  9.442,  0.668, 101.000, 145.000
0.500, 1.750, 0.4, 112.710,  9.320,  0.659, 88.000, 134.000
0.500, 1.750, 0.5, 104.130,  9.228,  0.653, 81.000, 128.000
0.000, 1.800, 0.1,  3.210,  1.885,  0.133,  0.000, 10.000
0.000, 1.800, 0.2,  2.825,  1.811,  0.128,  0.000, 10.000
0.000, 1.800, 0.3,  2.555,  1.668,  0.118,  0.000,  8.000
0.000, 1.800, 0.4,  2.390,  1.619,  0.114,  0.000,  7.000
0.000, 1.800, 0.5,  2.220,  1.531,  0.108,  0.000,  7.000
0.020, 1.800, 0.1,  3.725,  2.079,  0.147,  0.000, 10.000
0.020, 1.800, 0.2,  3.210,  1.896,  0.134,  0.000, 10.000
0.020, 1.800, 0.3,  2.925,  1.862,  0.132,  0.000, 10.000
0.020, 1.800, 0.4,  2.720,  1.799,  0.127,  0.000,  9.000
0.020, 1.800, 0.5,  2.525,  1.659,  0.117,  0.000,  7.000
0.040, 1.800, 0.1,  4.185,  2.208,  0.156,  0.000, 10.000
0.040, 1.800, 0.2,  3.660,  2.060,  0.146,  0.000, 10.000
0.040, 1.800, 0.3,  3.300,  1.915,  0.135,  0.000, 10.000
0.040, 1.800, 0.4,  3.055,  1.884,  0.133,  0.000, 10.000
0.040, 1.800, 0.5,  2.875,  1.821,  0.129,  0.000, 10.000
0.060, 1.800, 0.1,  4.810,  2.392,  0.169,  0.000, 11.000
0.060, 1.800, 0.2,  4.140,  2.150,  0.152,  0.000, 10.000
0.060, 1.800, 0.3,  3.755,  2.053,  0.145,  0.000, 10.000
0.060, 1.800, 0.4,  3.455,  1.915,  0.135,  0.000, 10.000
0.060, 1.800, 0.5,  3.245,  1.869,  0.132,  0.000, 10.000
0.080, 1.800, 0.1,  5.595,  2.582,  0.183,  0.000, 12.000
0.080, 1.800, 0.2,  4.740,  2.319,  0.164,  0.000, 11.000
0.080, 1.800, 0.3,  4.275,  2.122,  0.150,  0.000, 10.000
0.080, 1.800, 0.4,  3.950,  2.059,  0.146,  0.000, 10.000
0.080, 1.800, 0.5,  3.660,  2.001,  0.141,  0.000, 10.000
0.100, 1.800, 0.1,  6.580,  2.866,  0.203,  0.000, 13.000
0.100, 1.800, 0.2,  5.470,  2.571,  0.182,  0.000, 11.000
0.100, 1.800, 0.3,  4.915,  2.416,  0.171,  0.000, 11.000
0.100, 1.800, 0.4,  4.500,  2.260,  0.160,  0.000, 11.000
0.100, 1.800, 0.5,  4.195,  2.138,  0.151,  0.000, 11.000
0.120, 1.800, 0.1,  7.780,  3.156,  0.223,  0.000, 16.000
0.120, 1.800, 0.2,  6.395,  2.821,  0.199,  0.000, 14.000
0.120, 1.800, 0.3,  5.665,  2.651,  0.187,  0.000, 13.000
0.120, 1.800, 0.4,  5.160,  2.519,  0.178,  0.000, 12.000
0.120, 1.800, 0.5,  4.790,  2.384,  0.169,  0.000, 12.000
0.140, 1.800, 0.1,  9.335,  3.399,  0.240,  1.000, 17.000
0.140, 1.800, 0.2,  7.495,  3.164,  0.224,  0.000, 15.000
0.140, 1.800, 0.3,  6.630,  2.913,  0.206,  0.000, 14.000
0.140, 1.800, 0.4,  5.960,  2.774,  0.196,  0.000, 14.000
0.140, 1.800, 0.5,  5.490,  2.622,  0.185,  0.000, 12.000
0.160, 1.800, 0.1, 11.065,  3.779,  0.267,  1.000, 19.000
0.160, 1.800, 0.2,  9.005,  3.418,  0.242,  1.000, 17.000
0.160, 1.800, 0.3,  7.735,  3.201,  0.226,  0.000, 15.000
0.160, 1.800, 0.4,  6.975,  3.010,  0.213,  0.000, 14.000
0.160, 1.800, 0.5,  6.345,  2.833,  0.200,  0.000, 14.000
0.180, 1.800, 0.1, 13.305,  4.041,  0.286,  4.000, 23.000
0.180, 1.800, 0.2, 10.725,  3.628,  0.257,  1.000, 19.000
0.180, 1.800, 0.3,  9.395,  3.414,  0.241,  1.000, 17.000
0.180, 1.800, 0.4,  8.310,  3.295,  0.233,  0.000, 16.000
0.180, 1.800, 0.5,  7.480,  3.125,  0.221,  0.000, 15.000
0.200, 1.800, 0.1, 16.050,  4.305,  0.304,  5.000, 27.000
0.200, 1.800, 0.2, 12.840,  4.017,  0.284,  4.000, 22.000
0.200, 1.800, 0.3, 11.025,  3.723,  0.263,  1.000, 19.000
0.200, 1.800, 0.4,  9.920,  3.495,  0.247,  1.000, 18.000
0.200, 1.800, 0.5,  8.900,  3.370,  0.238,  0.000, 16.000
0.220, 1.800, 0.1, 19.635,  4.695,  0.332,  9.000, 33.000
0.220, 1.800, 0.2, 15.315,  4.278,  0.302,  6.000, 26.000
0.220, 1.800, 0.3, 13.235,  4.065,  0.287,  4.000, 24.000
0.220, 1.800, 0.4, 11.820,  3.894,  0.275,  3.000, 22.000
0.220, 1.800, 0.5, 10.630,  3.611,  0.255,  1.000, 18.000
0.240, 1.800, 0.1, 23.665,  5.046,  0.357, 13.000, 38.000
0.240, 1.800, 0.2, 18.760,  4.648,  0.329,  7.000, 31.000
0.240, 1.800, 0.3, 15.850,  4.361,  0.308,  6.000, 26.000
0.240, 1.800, 0.4, 13.990,  4.083,  0.289,  5.000, 24.000
0.240, 1.800, 0.5, 12.605,  4.062,  0.287,  3.000, 24.000
0.260, 1.800, 0.1, 28.380,  5.503,  0.389, 16.000, 42.000
0.260, 1.800, 0.2, 22.575,  4.928,  0.348, 12.000, 36.000
0.260, 1.800, 0.3, 19.405,  4.618,  0.327,  8.000, 32.000
0.260, 1.800, 0.4, 16.895,  4.370,  0.309,  6.000, 27.000
0.260, 1.800, 0.5, 14.990,  4.189,  0.296,  6.000, 24.000
0.280, 1.800, 0.1, 34.005,  6.251,  0.442, 20.000, 49.000
0.280, 1.800, 0.2, 26.955,  5.385,  0.381, 15.000, 42.000
0.280, 1.800, 0.3, 23.255,  4.962,  0.351, 12.000, 37.000
0.280, 1.800, 0.4, 20.535,  4.836,  0.342, 10.000, 33.000
0.280, 1.800, 0.5, 18.260,  4.571,  0.323,  7.000, 30.000
0.300, 1.800, 0.1, 40.925,  6.486,  0.459, 27.000, 58.000
0.300, 1.800, 0.2, 32.345,  6.108,  0.432, 19.000, 48.000
0.300, 1.800, 0.3, 27.735,  5.441,  0.385, 16.000, 42.000
0.300, 1.800, 0.4, 24.480,  5.123,  0.362, 13.000, 38.000
0.300, 1.800, 0.5, 21.945,  4.920,  0.348, 10.000, 35.000
0.320, 1.800, 0.1, 48.950,  6.870,  0.486, 32.000, 67.000
0.320, 1.800, 0.2, 39.040,  6.467,  0.457, 24.000, 56.000
0.320, 1.800, 0.3, 33.320,  6.206,  0.439, 19.000, 48.000
0.320, 1.800, 0.4, 29.305,  5.553,  0.393, 16.000, 44.000
0.320, 1.800, 0.5, 26.280,  5.296,  0.375, 15.000, 41.000
0.340, 1.800, 0.1, 57.790,  7.169,  0.507, 42.000, 81.000
0.340, 1.800, 0.2, 46.755,  6.822,  0.482, 31.000, 66.000
0.340, 1.800, 0.3, 40.175,  6.466,  0.457, 25.000, 57.000
0.340, 1.800, 0.4, 35.240,  6.229,  0.440, 21.000, 51.000
0.340, 1.800, 0.5, 31.345,  5.956,  0.421, 18.000, 48.000
0.360, 1.800, 0.1, 67.815,  7.548,  0.534, 46.000, 87.000
0.360, 1.800, 0.2, 55.230,  7.022,  0.497, 40.000, 75.000
0.360, 1.800, 0.3, 48.105,  6.902,  0.488, 32.000, 67.000
0.360, 1.800, 0.4, 42.485,  6.695,  0.473, 28.000, 60.000
0.360, 1.800, 0.5, 37.700,  6.394,  0.452, 21.000, 55.000
0.380, 1.800, 0.1, 79.105,  8.185,  0.579, 58.000, 103.000
0.380, 1.800, 0.2, 64.900,  7.541,  0.533, 44.000, 86.000
0.380, 1.800, 0.3, 56.700,  7.138,  0.505, 42.000, 78.000
0.380, 1.800, 0.4, 50.715,  6.991,  0.494, 37.000, 71.000
0.380, 1.800, 0.5, 45.350,  6.824,  0.483, 29.000, 63.000
0.400, 1.800, 0.1, 91.565,  8.801,  0.622, 68.000, 116.000
0.400, 1.800, 0.2, 75.750,  7.932,  0.561, 56.000, 99.000
0.400, 1.800, 0.3, 66.630,  7.639,  0.540, 45.000, 87.000
0.400, 1.800, 0.4, 59.600,  7.158,  0.506, 43.000, 81.000
0.400, 1.800, 0.5, 53.730,  6.984,  0.494, 39.000, 75.000
0.420, 1.800, 0.1, 105.560,  9.401,  0.665, 82.000, 133.000
0.420, 1.800, 0.2, 88.195,  8.607,  0.609, 65.000, 112.000
0.420, 1.800, 0.3, 77.715,  8.057,  0.570, 58.000, 100.000
0.420, 1.800, 0.4, 69.920,  7.698,  0.544, 48.000, 89.000
0.420, 1.800, 0.5, 63.385,  7.447,  0.527, 44.000, 85.000
0.440, 1.800, 0.1, 119.660,  9.409,  0.665, 95.000, 141.000
0.440, 1.800, 0.2, 101.860,  9.152,  0.647, 78.000, 128.000
