SLR (m), Pchng (cm), pi, N_d, SD, SE
0.1,0.2,0.3,1.605,1.318,0.093
0.1,0.2,0.4,1.475,1.291,0.091
0.1,0.2,0.5,1.365,1.229,0.087
0.12,0.2,0.1,2.485,1.604,0.113
0.12,0.2,0.2,2.055,1.474,0.104
0.12,0.2,0.3,1.795,1.387,0.098
0.12,0.2,0.4,1.65,1.333,0.094
0.12,0.2,0.5,1.545,1.302,0.092
0.14,0.2,0.1,2.76,1.651,0.117
0.14,0.2,0.2,2.38,1.571,0.111
0.14,0.2,0.3,2.095,1.499,0.106
0.14,0.2,0.4,1.9,1.425,0.101
0.14,0.2,0.5,1.74,1.39,0.098
0.16,0.2,0.1,3.06,1.664,0.118
0.16,0.2,0.2,2.68,1.616,0.114
0.16,0.2,0.3,2.415,1.554,0.11
0.16,0.2,0.4,2.165,1.479,0.105
0.16,0.2,0.5,2.015,1.444,0.102
0.18,0.2,0.1,3.305,1.728,0.122
0.18,0.2,0.2,2.995,1.658,0.117
0.18,0.2,0.3,2.71,1.631,0.115
0.18,0.2,0.4,2.5,1.569,0.111
0.18,0.2,0.5,2.31,1.522,0.108
0.2,0.2,0.1,3.64,1.865,0.132
0.2,0.2,0.2,3.225,1.714,0.121
0.2,0.2,0.3,3.03,1.68,0.119
0.2,0.2,0.4,2.78,1.66,0.117
0.2,0.2,0.5,2.61,1.622,0.115
0.22,0.2,0.1,3.945,1.942,0.137
0.22,0.2,0.2,3.5,1.816,0.128
0.22,0.2,0.3,3.225,1.714,0.121
0.22,0.2,0.4,3.07,1.685,0.119
0.22,0.2,0.5,2.84,1.664,0.118
0.24,0.2,0.1,4.34,2.082,0.147
0.24,0.2,0.2,3.785,1.902,0.134
0.24,0.2,0.3,3.5,1.816,0.128
0.24,0.2,0.4,3.27,1.738,0.123
0.24,0.2,0.5,3.12,1.694,0.12
0.26,0.2,0.1,4.725,2.157,0.153
0.26,0.2,0.2,4.16,1.973,0.14
0.26,0.2,0.3,3.785,1.902,0.134
0.26,0.2,0.4,3.555,1.837,0.13
0.26,0.2,0.5,3.325,1.739,0.123
0.28,0.2,0.1,5.245,2.254,0.159
0.28,0.2,0.2,4.535,2.122,0.15
0.28,0.2,0.3,4.16,1.973,0.14
0.28,0.2,0.4,3.84,1.916,0.136
0.28,0.2,0.5,3.615,1.856,0.131
0.3,0.2,0.1,5.785,2.321,0.164
0.3,0.2,0.2,4.95,2.194,0.155
0.3,0.2,0.3,4.54,2.124,0.15
0.3,0.2,0.4,4.22,2.02,0.143
0.3,0.2,0.5,3.9,1.923,0.136
0.32,0.2,0.1,6.585,2.446,0.173
0.32,0.2,0.2,5.515,2.282,0.161
0.32,0.2,0.3,4.95,2.194,0.155
0.32,0.2,0.4,4.595,2.153,0.152
0.32,0.2,0.5,4.305,2.089,0.148
0.34,0.2,0.1,7.405,2.722,0.192
0.34,0.2,0.2,6.165,2.336,0.165
0.34,0.2,0.3,5.515,2.282,0.161
0.34,0.2,0.4,5.06,2.196,0.155
0.34,0.2,0.5,4.7,2.15,0.152
0.36,0.2,0.1,8.375,2.948,0.208
0.36,0.2,0.2,6.92,2.568,0.182
0.36,0.2,0.3,6.165,2.336,0.165
0.36,0.2,0.4,5.615,2.285,0.162
0.36,0.2,0.5,5.195,2.228,0.158
0.38,0.2,0.1,9.705,3.135,0.222
0.38,0.2,0.2,7.875,2.796,0.198
0.38,0.2,0.3,6.925,2.562,0.181
0.38,0.2,0.4,6.33,2.364,0.167
0.38,0.2,0.5,5.77,2.309,0.163
0.4,0.2,0.1,11.195,3.306,0.234
0.4,0.2,0.2,9,3.004,0.212
0.4,0.2,0.3,7.875,2.796,0.198
0.4,0.2,0.4,7.12,2.602,0.184
0.4,0.2,0.5,6.53,2.449,0.173
0.42,0.2,0.1,13,3.4,0.24
0.42,0.2,0.2,10.405,3.225,0.228
0.42,0.2,0.3,9,3.004,0.212
0.42,0.2,0.4,8.08,2.852,0.202
0.42,0.2,0.5,7.335,2.713,0.192
0.44,0.2,0.1,14.88,3.699,0.262
0.44,0.2,0.2,11.965,3.336,0.236
0.44,0.2,0.3,10.415,3.24,0.229
0.44,0.2,0.4,9.245,3.045,0.215
0.44,0.2,0.5,8.285,2.923,0.207
0.46,0.2,0.1,17.21,3.994,0.282
0.46,0.2,0.2,13.875,3.53,0.25
0.46,0.2,0.3,11.975,3.326,0.235
